name,start_date,end_date,location,category,link
Using Maths to Survive the Zombie Apocalypse (Year 12 & 13),Wednesday 13th November 2019 (13:00-15:00,N/A,University of Birmingham,Lectures Talks and Workshops,https://www.birmingham.ac.uk/events/Masterclasses/Using-Maths-to-Survive-the-Zombie-Apocalypse.aspx
What Makes Science Fiction? (Year 11 & 12),Wednesday 13th November 2019 (13:00-15:00,N/A,University of Birmingham,Lectures Talks and Workshops,https://www.birmingham.ac.uk/events/Masterclasses/What-Makes-Science-Fiction.aspx
Governing by writing: applying imperial calligraphy in Tang administration,Wednesday 13th November 2019 (14:15-16:00,N/A,Lecture Room 8 - Arts Building,"Arts and Law, Research",https://www.birmingham.ac.uk/schools/historycultures/departments/history/events/2019/cesma1311.aspx
Manufactured Landscapes Screening and Roundtable,Wednesday 13th November 2019 (16:00-19:00,N/A,Lecture Room 4 - Arts Building,N/A,https://www.eventbrite.co.uk/e/manufactured-landscapes-tickets-78177259287
Institutionalising citizenship in ancient Greece,Thursday 14th November 2019 (14:00-18:00,N/A,"Education Building, Room M35","Arts and Law, Lectures Talks and Workshops, Research, Students",https://www.birmingham.ac.uk/schools/historycultures/departments/caha/events/2019/institutionalising.aspx
'Working with Shakespeare on stage and screen: Russell Jackson in conversation with Michael Dobson,Thursday 14th November 2019 (14:00-15:00,N/A,"Stratford-upon-Avon, The Shakespeare Institute","Arts and Law, Lectures Talks and Workshops, Research, Students, Teaching",https://www.birmingham.ac.uk/schools/edacs/departments/shakespeare/events/2019/ts1411.aspx
The Crisis of Kingship in Late Medieval Islam: Persian Emigres and the Making of Ottoman Sovereignty,Thursday 14th November 2019 (15:00-17:00,N/A,muirhead 427,"Arts and Law, Research",https://www.birmingham.ac.uk/schools/historycultures/events/2019/chris-markiewicz.aspx
George Orwell and 'The Ministry of Truth': Dorian Lynskey in Conversation,Thursday 14th November 2019 (18:00-19:30,N/A,Arts Building - Lecture Theatre 7,"Arts and Law, Lectures Talks and Workshops, Research",https://www.eventbrite.co.uk/e/george-orwell-and-the-ministry-of-truth-dorian-lynskey-in-conversation-tickets-76637331321
Onyx Brass,Friday 15th November 2019 (13:00-14:00,N/A,Concert Hall - Barber Institute,"Arts and Law, Performance",https://www.birmingham.ac.uk/schools/lcahm/departments/music/events/2019/autumn/barber-lunchtime-onyx-brass.aspx
BHM2019 - Awards Ceremony,Friday 15th November 2019 (18:00-19:30,N/A,TBC (confirmation will be sent once you register),"Lectures Talks and Workshops, Performance",https://www.birmingham.ac.uk/events/black-history-month/2019/Awards-Ceremony.aspx
Music and the Hanseatic League,Saturday 16th November 2019 (15:00-16:00,N/A,Concert Hall - Barber Institute,"Arts and Law, Performance",https://www.birmingham.ac.uk/schools/lcahm/departments/music/events/2019/autumn/music-hanseatic-league.aspx
Lapworth Lecture - Volcanoes: from fuming vents to extinction events,Monday 18th November 2019 (17:00-18:00,N/A,"Lecture Theatre WG5, Ground Floor, Aston Webb Building (R4)","Lectures Talks and Workshops, Life and Environmental Sciences",https://www.birmingham.ac.uk/facilities/lapworth-museum/events/lectures/2019/18Nov-LapworthLecture.aspx
"Independence as Rupture, Continuity or Transition? Gendering Citizenship and Decolonising Justice in 1960s Ghana",Tuesday 19th November 2019 (16:00-17:30,N/A,Lecture Room 1 - Arts Building,"Arts and Law, Research",https://www.birmingham.ac.uk/schools/historycultures/events/2019/brihc-lecture-skinner.aspx
Academic Writing (Year 12 & 13),Wednesday 20th November 2019 (13:00-15:00,N/A,University of Birmingham,Lectures Talks and Workshops,https://www.birmingham.ac.uk/events/Masterclasses/Academic-Writing.aspx
Biomaterials: helping you live longer? (Year 12 & 13),Wednesday 20th November 2019 (13:00-15:00,N/A,University of Birmingham,Lectures Talks and Workshops,https://www.birmingham.ac.uk/events/Masterclasses/Biomaterials-helping-you-live-longer.aspx
How to Read a Shakespeare Play (Year 10 & 11),Wednesday 20th November 2019 (13:00-15:00,N/A,University of Birmingham,Lectures Talks and Workshops,https://www.birmingham.ac.uk/events/Masterclasses/How-to-Read-a-Shakespeare-Play-GCSE.aspx
Is Consciousness Physical? (Year 12 & 13),Wednesday 20th November 2019 (13:00-15:00,N/A,University of Birmingham,Lectures Talks and Workshops,https://www.birmingham.ac.uk/events/Masterclasses/Is-Consciousness-Physical.aspx
Monoclonal Antibodies as Anti-cancer Drugs (Year 12 & 13),Wednesday 20th November 2019 (13:00-15:00,N/A,University of Birmingham,Lectures Talks and Workshops,https://www.birmingham.ac.uk/events/Masterclasses/Monoclonal-Antibodies-as-Anti-cancer-Drugs.aspx
Physics: Hot and Cold (Year 10 & 11),Wednesday 20th November 2019 (13:00-15:00,N/A,University of Birmingham,Lectures Talks and Workshops,https://www.birmingham.ac.uk/events/Masterclasses/Physics-Hot-and-Cold.aspx
The poetics and politics of creation and translation,Wednesday 20th November 2019 (14:00-16:00,N/A,Muirhead 113,"Arts and Law, Lectures Talks and Workshops, Research",https://www.birmingham.ac.uk/schools/lcahm/departments/languages/events/2019/poetics-and-politics-of-creation-and-translation.aspx
China Institute Li Siguang Lecture,Wednesday 20th November 2019 (16:00-18:15,N/A,"Lecture Theatre G12, Ground Floor, University House (O3)",N/A,https://www.birmingham.ac.uk/events/events/China-Institute-Li-Siguang-Lecture.aspx
Clean Air for All,Wednesday 20th November 2019 (18:00-21:00,N/A,"Birmingham B15 2TH, Lecture Theatre 3, Level 1 Queen Elizabeth Hospital, Mindelsohn Way","Lectures Talks and Workshops, Medical and Dental Sciences, Research",https://www.birmingham.ac.uk/university/colleges/mds/events/2019/11/suzanne-bartington-Clean-Air.aspx
Madeleine Carroll blue plaque unveiling,Wednesday 20th November 2019 (18:15-20:20,N/A,N/A,N/A,https://www.eventbrite.co.uk/e/madeleine-carroll-actor-and-humanitarian-commemorative-blue-plaque-event-tickets-74681236589
'A pyramis of pity will I rear': Reworking Poetic Pity for Early Modern Drama,Thursday 21st November 2019 (14:00-15:00,N/A,"Stratford-upon-Avon, The Shakespeare Institute","Arts and Law, Lectures Talks and Workshops, Research, Students, Teaching",https://www.birmingham.ac.uk/schools/edacs/departments/shakespeare/events/2019/ts2111.aspx
Leaders in Law: Simone George,Thursday 21st November 2019 (18:00-19:00,N/A,Law Lecture Theatre Two,"Arts and Law, Lectures Talks and Workshops",https://www.birmingham.ac.uk/facilities/CEPLER/news/events/Leaders-in-Law-Simone-George.aspx
Being Human Festival 2019: 21st Century Body Panel Discussion with Q&A,Thursday 21st November 2019 (18:30-21:00,N/A,Bramall Music Building - Elgar Concert Hall (R12 on campus map),"Lectures Talks and Workshops, Research",https://www.birmingham.ac.uk/events/events/being-human-festival-2019-21st-century-body-panel-discussion.aspx
King Edward's Schools,Friday 22nd November 2019 (13:00-14:00,N/A,Concert Hall - Barber Institute,"Arts and Law, Performance",https://www.birmingham.ac.uk/schools/lcahm/departments/music/events/2019/autumn/king-edwards-schools.aspx
Brass Band and Saxophone Choir,Friday 22nd November 2019 (19:30-21:30,N/A,Elgar Concert Hall - Bramall Music Building,"Arts and Law, Performance",https://www.birmingham.ac.uk/schools/lcahm/departments/music/events/2019/autumn/music-society-brass-band-saxophone-choir.aspx
Postgraduate Open Day,Saturday 23rd November 2019 (09:00-16:00,N/A,University of Birmingham,Open Day,https://www.birmingham.ac.uk/postgraduate/visit/open-day/pg-opendays.aspx
Music Society Gala Concert,Saturday 23rd November 2019 (19:30-21:30,N/A,Elgar Concert Hall - Bramall Music Building,"Arts and Law, Performance",https://www.birmingham.ac.uk/schools/lcahm/departments/music/events/2019/autumn/music-society-gala-concert.aspx
"Meaning, Memory and Movement: Ancient and Medieval Spaces",Saturday 23rd (00:01),Sunday 24th November 2019 (23:59),N/A,N/A,https://www.birmingham.ac.uk/schools/historycultures/departments/caha/events/2019/meaning-memory-movement.aspx
Birmingham University Singers and University Women's Choir,Sunday 24th November 2019 (15:00-16:30,N/A,Elgar Concert Hall - Bramall Music Building,"Arts and Law, Performance",https://www.birmingham.ac.uk/schools/lcahm/departments/music/events/2019/autumn/university-music-singers-womens-choir.aspx
Why are rare earth elements/magnets critical in a modern society?,Monday 25th November 2019 (17:30-18:30,N/A,GC17 - C Block Foyer of Metallurgy & Materials Building (G6),"Engineering and Physical Sciences, Lectures Talks and Workshops, Research",https://www.birmingham.ac.uk/university/colleges/eps/events/inaugural-lecture/allan-walton-25-11-19-inaugural-lecture.aspx
A Train Station on the Left. The Making of a Socialist Public Sphere in Romania (1882-1914),Tuesday 26th November 2019 (16:00-17:30,N/A,Arts G13,"Arts and Law, Research",https://www.birmingham.ac.uk/schools/historycultures/events/2019/brihc-anca-mandru.aspx
Breakfast Brainstorm - November 2019,Wednesday 27th November 2019 (09:00-11:00,N/A,Starbucks - Muirhead Tower,Research,https://www.birmingham.ac.uk/events/events/Breakfast-Brainstorm-November-2019.aspx
Boost up your languages! (Year 12 & 13),Wednesday 27th November 2019 (13:00-15:00,N/A,University of Birmingham,Lectures Talks and Workshops,https://www.birmingham.ac.uk/events/Masterclasses/Boost-up-your-languages.aspx
Criminal Law: Streetlaw (Years 10-13),Wednesday 27th November 2019 (13:00-15:00,N/A,University of Birmingham,Lectures Talks and Workshops,https://www.birmingham.ac.uk/events/Masterclasses/Criminal-Law-Streetlaw.aspx
Image/Body/Art (Years 10-13),Wednesday 27th November 2019 (13:00-15:00,N/A,University of Birmingham,Lectures Talks and Workshops,https://www.birmingham.ac.uk/events/Masterclasses/Image-Body-Art.aspx
Philharmonic Orchestra (Year 7 & 8),Wednesday 27th November 2019 (13:00-15:00,N/A,University of Birmingham,Lectures Talks and Workshops,https://www.birmingham.ac.uk/events/Masterclasses/Philharmonic-Orchestra.aspx
Research and Evaluation Skills (Year 12 & 13),Wednesday 27th November 2019 (13:00-15:00,N/A,University of Birmingham,Lectures Talks and Workshops,https://www.birmingham.ac.uk/events/Masterclasses/Research-and-Evaluation-Skills.aspx
The Physics of Rockets (Year 7 & 8),Wednesday 27th November 2019 (13:00-15:00,N/A,University of Birmingham,Lectures Talks and Workshops,https://www.birmingham.ac.uk/events/Masterclasses/The-physics-of-rockets.aspx
Where do medicines come from? (Year 12 & 13),Wednesday 27th November 2019 (13:00-15:00,N/A,University of Birmingham,Lectures Talks and Workshops,https://www.birmingham.ac.uk/events/Masterclasses/Where-do-medicines-come-from.aspx
Write What You Don't Know (Years 11-13),Wednesday 27th November 2019 (13:00-15:00,N/A,University of Birmingham,Lectures Talks and Workshops,https://www.birmingham.ac.uk/events/Masterclasses/Write-What-You-Dont-Know.aspx
Missing numbers: macro regions and the political economic geography in first millenium CE Southeast Asia,Wednesday 27th November 2019 (14:15-16:00,N/A,Arts 201,"Arts and Law, Research",https://www.birmingham.ac.uk/schools/historycultures/departments/history/events/2019/cesma2711.aspx
Philosophy Society Seminar Series,Wednesday 27th November 2019 (15:15-17:00,N/A,ERI Building,"Arts and Law, Lectures Talks and Workshops, Research",https://www.birmingham.ac.uk/schools/ptr/departments/philosophy/events/2019/philsoc2711.aspx
"""Sonic Revolutions"": Hegemony and Protest, 1737-1843",Thursday 28th November 2019 (14:00-15:00,N/A,"Stratford-upon-Avon, The Shakespeare Institute","Arts and Law, Lectures Talks and Workshops, Research, Students, Teaching",https://www.birmingham.ac.uk/schools/edacs/departments/shakespeare/events/2019/ts2811.aspx
"Making the social care future, together",Thursday 28th November 2019 (17:30-19:00,N/A,"Alan Walters Building  G11, Edgbastion Campus, University of Birmingham","Lectures Talks and Workshops, Medical and Dental Sciences, Social Sciences",https://www.birmingham.ac.uk/research/health-and-social-care-leadership/events/2019/making-the-social-care-future-together.aspx
Binchois Consort,Friday 29th November 2019 (13:00-14:00,N/A,Concert Hall - Barber Institute,"Arts and Law, Performance",https://www.birmingham.ac.uk/schools/lcahm/departments/music/events/2019/autumn/barber-lunchtime-binchois-consort.aspx
Jazz Orchestra,Friday 29th November 2019 (19:30-21:30,N/A,CBSO Centre,"Arts and Law, Performance",https://www.birmingham.ac.uk/schools/lcahm/departments/music/events/2019/autumn/music-society-jazz-orchestra.aspx
Birmingham History Day 2019,Saturday 30th November 2019 (10:00-16:30,N/A,Large Lecture Theatre - 1st Floor - Arts Building - University of Birmingham - B15 2TT,"Arts and Law, Lectures Talks and Workshops, Research, Students, Teaching",https://www.birmingham.ac.uk/schools/historycultures/departments/history/events/2019/birmingham-history-day-2019.aspx
Symphony Orchestra,Saturday 30th November 2019 (14:00-15:15,N/A,Elgar Concert Hall - Bramall Music Building,"Arts and Law, Performance",https://www.birmingham.ac.uk/schools/lcahm/departments/music/events/2019/autumn/music-society-symphony-orchestra.aspx
Wind Band and String Orchestra,Sunday 1st December 2019 (15:00-17:00,N/A,Elgar Concert Hall - Bramall Music Building,"Arts and Law, Performance",https://www.birmingham.ac.uk/schools/lcahm/departments/music/events/2019/autumn/music-society-wind-band-string-orchestra.aspx
